,column1,column2,class
230,5.3919,28.062,1
493,5.0923,28.263,1
155,1.5787,1.48,0
544,6.0128,32.346,1
364,5.7847,31.401,1
677,5.053,28.118,1
969,4.5991,23.116,1
990,0.66261,0.70559,0
566,0.86134,-0.0081631,0
676,5.6585,-0.12989,0
439,0.96652,0.16387,0
12,4.2939,-0.9135,0
701,5.1222,29.325,1
224,3.4938,24.021,1
412,4.3432,22.983,1
14,4.2602,2.9708,0
803,0.41897,1.7111,0
342,5.1644,28.643,1
128,5.7015,31.691,1
822,2.1943,0.83767,0
165,5.3075,28.277,1
207,4.0585,26.456,1
996,2.5186,1.7625,0
301,4.0515,25.556,1
934,3.7632,21.813,1
532,4.3914,24.869,1
798,4.092,0.12396,0
40,1.6767,1.0733,0
194,2.1622,0.22777,0
509,-3.8638,0.75897,0
476,-1.121,0.18693,0
640,-1.1323,1.449,0
482,1.5831,-0.10573,0
682,5.5551,31.381,1
738,4.6747,27.009,1
583,3.3613,24.258,1
330,4.3709,26.558,1
94,-0.10889,1.3538,0
968,5.5047,31.535,1
152,1.89,1.1913,0
508,-1.6893,-0.25449,0
907,4.8301,26.526,1
669,3.9682,1.6724,0
9,7.7694,38.293,1
867,4.1,26.884,1
629,3.9935,26.073,1
383,5.4286,32.108,1
774,-0.50752,1.3348,0
50,-0.73111,1.6172,0
887,1.7334,-0.11773,0
237,-7.5791,-0.65939,0
205,5.5152,28.777,1
185,6.0391,31.174,1
506,5.1017,29.555,1
703,4.7731,30.484,1
309,5.5362,30.742,1
933,4.1903,25.445,1
229,3.4022,1.2879,0
66,-2.7168,0.53878,0
767,4.5614,1.2861,0
620,4.9217,1.0918,0
995,6.7769,3.4981,0
661,-5.4615,-0.91919,0
557,4.4777,22.799,1
438,6.4702,33.264,1
690,2.2467,0.28489,0
750,6.617,1.9413,0
60,3.9109,24.3,1
385,7.9383,1.5207,0
914,-4.9618,-0.90995,0
846,5.6263,31.152,1
257,-5.1415,0.24433,0
244,5.1825,28.062,1
269,5.6524,31.616,1
73,4.81,1.2663,0
261,-3.2626,0.40541,0
636,4.9625,28.806,1
967,4.8358,1.1812,0
524,2.2111,0.59595,0
928,5.5404,29.264,1
201,-1.2564,-0.35862,0
838,4.0104,25.834,1
830,5.0859,2.3514,0
371,2.6077,0.90823,0
643,2.9115,1.0957,0
129,-4.4884,-0.70232,0
392,0.19747,2.2749,0
656,5.1663,27.788,1
285,2.7582,2.9851,0
916,3.6067,23.664,1
321,4.5289,24.892,1
378,3.1641,21.934,1
520,3.7167,25.792,1
556,5.0755,1.0863,0
969,0.73225,-1.0382,0
489,3.3914,0.79869,0
634,1.425,0.9599,0
67,4.2577,25.487,1
159,0.13733,-0.045793,0
666,5.138,28.338,1
694,-1.7042,0.82643,0
766,4.4314,27.639,1
357,3.7809,1.7022,0
121,5.8252,29.156,1
591,-0.10829,0.50349,0
560,0.6909,1.5303,0
852,5.6282,0.17451,0
522,5.9019,31.391,1
500,4.9201,24.927,1
826,4.0881,19.714,1
59,5.5334,2.0888,0
758,-2.3804,0.13697,0
741,4.75,26.934,1
763,5.4967,30.339,1
126,6.0984,32.658,1
712,4.5887,29.149,1
425,5.1093,25.158,1
352,4.2159,25.172,1
752,2.3811,0.18652,0
278,5.0,29.097,1
997,1.1058,0.38265,0
335,4.4393,25.631,1
373,4.9058,28.354,1
863,-1.0388,-0.1756,0
787,-0.44464,1.2841,0
761,3.2672,0.97052,0
423,4.9362,27.174,1
570,6.0289,33.579,1
231,-1.955,1.6594,0
6,0.62886,-0.14197,0
994,6.769,31.475,1
929,1.7105,1.0825,0
369,1.7259,0.29103,0
845,1.927,18.585,1
738,0.97116,0.92425,0
825,4.4565,24.315,1
93,7.5855,34.34,1
930,4.2397,28.001,1
52,3.7859,24.556,1
276,3.6782,24.906,1
26,5.7269,34.753,1
317,0.79016,1.1998,0
348,5.6647,30.828,1
356,2.3269,0.54656,0
874,2.1868,0.88925,0
891,8.0468,1.2888,0
670,4.0472,0.42305,0
283,5.9536,2.2238,0
424,5.6113,30.388,1
273,4.3491,28.192,1
559,5.0697,1.1789,0
234,4.4922,24.805,1
764,5.4223,1.2818,0
695,3.6147,22.771,1
587,1.9552,0.21074,0
124,4.5314,28.851,1
77,3.5438,0.39263,0
207,-0.97724,1.483,0
857,5.214,26.863,1
63,5.4804,2.3916,0
398,1.6275,0.85552,0
390,4.4417,25.562,1
414,2.4917,0.82389,0
671,4.5744,25.461,1
168,1.4418,2.0955,0
32,-1.3801,-0.97061,0
290,1.9226,0.92198,0
132,-2.9871,1.2549,0
39,3.2885,26.574,1
82,5.1978,30.918,1
918,3.662,2.217,0
132,3.4229,24.37,1
601,6.4659,1.7972,0
203,5.3071,28.454,1
499,4.742,2.4611,0
834,4.919,27.318,1
161,4.1521,24.855,1
944,5.854,30.718,1
803,4.5,28.036,1
970,0.37507,1.3183,0
909,-0.73795,1.5826,0
346,4.5191,27.614,1
157,6.2735,1.8958,0
630,5.0645,27.805,1
100,4.6575,1.3619,0
724,3.0336,1.7392,0
592,5.8641,29.403,1
900,3.3799,2.4859,0
76,-2.4979,-0.37222,0
427,2.9867,1.6285,0
251,4.9692,30.584,1
173,5.3335,29.186,1
340,-2.4213,-0.20868,0
756,0.51433,1.8008,0
838,-1.1293,1.2194,0
15,4.795,29.006,1
819,4.7318,25.691,1
584,4.2399,24.244,1
637,-3.9966,0.16899,0
468,4.9793,0.82435,0
225,0.59396,1.1278,0
965,4.7942,1.9034,0
125,1.1384,1.5137,0
958,6.8259,1.7305,0
485,4.802,30.624,1
504,5.1129,28.657,1
281,5.5946,29.583,1
236,2.0394,0.92583,0
297,5.5812,30.897,1
339,3.3956,1.0006,0
548,-1.2986,0.5099,0
632,-2.3055,-0.72006,0
410,5.7129,2.3138,0
681,0.21657,-0.63363,0
51,5.0774,30.282,1
396,3.3011,21.168,1
163,7.526,37.391,1
48,5.4572,0.88839,0
621,2.8441,-0.78928,0
781,-0.36816,-0.38769,0
618,4.7818,1.8807,0
115,2.3923,0.58626,0
962,5.8328,30.535,1
488,2.726,1.0684,0
406,5.5694,1.536,0
968,3.5961,2.1784,0
910,2.5713,1.7393,0
484,6.0468,32.601,1
920,7.6873,1.4085,0
501,4.8412,1.7899,0
316,3.7294,21.553,1
654,0.63957,3.2024,0
263,1.1207,0.60738,0
401,3.5631,2.1379,0
611,2.922,2.1019,0
655,-3.146,0.3755,0
887,4.9157,25.675,1
649,4.6218,29.646,1
922,4.6798,23.477,1
949,5.1092,26.455,1
75,-2.4344,-0.45535,0
748,-0.21556,-0.16143,0
954,5.7665,31.074,1
41,4.7586,23.992,1
696,2.9819,0.41917,0
512,4.5664,25.645,1
382,1.0014,0.75322,0
775,-2.9032,0.03952,0
311,1.5828,0.51238,0
711,2.1884,1.2452,0
833,4.0223,0.55641,0
854,3.7187,23.806,1
280,4.8812,1.5702,0
435,-2.1965,1.2912,0
610,5.2702,2.2257,0
85,5.6966,31.024,1
166,-1.9754,0.97367,0
826,-0.88368,-2.1371,0
908,1.3939,1.002,0
395,1.3362,0.18313,0
6,4.5664,24.719,1
999,3.8535,24.484,1
714,3.639,22.835,1
410,6.1741,33.535,1
249,5.0414,30.459,1
840,6.3845,33.956,1
531,5.07,28.382,1
318,5.6487,30.118,1
718,6.0212,32.823,1
71,5.7481,29.733,1
585,-0.58925,0.89998,0
952,3.9671,25.341,1
868,1.0966,2.9074,0
698,5.5037,30.589,1
359,4.0953,26.62,1
598,4.1597,0.35962,0
808,4.4007,27.494,1
569,3.3955,21.768,1
642,-3.4563,-0.23117,0
527,4.9308,27.296,1
336,7.1778,32.669,1
302,3.3012,0.30872,0
379,5.276,0.26058,0
537,6.3312,38.31,1
604,6.7013,33.86,1
964,0.5394,1.7742,0
424,3.9332,1.4216,0
984,7.6173,36.349,1
602,2.0715,1.5997,0
870,0.70415,0.99211,0
422,2.145,1.055,0
481,1.0276,0.20206,0
287,-0.060394,0.83447,0
464,-2.8099,-0.47816,0
393,3.9743,25.955,1
614,-2.3722,-0.68099,0
368,4.7159,27.261,1
269,4.0629,2.0167,0
976,2.0102,1.3711,0
377,5.3501,29.327,1
341,1.1934,0.24503,0
277,4.9246,1.1558,0
322,2.4333,0.78258,0
24,5.4889,28.914,1
734,-1.4373,2.6737,0
315,0.40436,1.261,0
19,6.4816,1.8873,0
138,3.1074,2.5722,0
341,4.7449,25.913,1
99,-3.6753,-1.1488,0
120,11.196,3.5321,0
758,3.6148,22.764,1
892,0.76387,1.2559,0
536,3.9678,30.307,1
546,1.3264,0.59939,0
